,task,company,details,location,salary,begin
0,Campus Ambassador,Mood Indigo IIT Bombay,,Work From Home,Performance Based,Starts immediately
1,Business Development (Sales),Bengal Bay,,"Mumbai, Bangalore, Goa Velha, Delhi, Hyderabad",8000 ,Starts immediately
2,Business Development (Sales),Ostello India Private Limited,,Work From Home,3000-7000 ,Starts immediately
3,Marketing,Internshala,,Gurgaon,20000 ,Starts immediately
4,Operations,UrbanClap,,Hyderabad,8000-10000 ,Starts immediately
5,Marketing,Think & Learn Private Limited (BYJU'S),,Rajkot,18000 ,Starts immediately
6,Marketing,Think & Learn Private Limited (BYJU'S),,Vadodara,18000 ,Starts immediately
7,Marketing,Think & Learn Private Limited (BYJU'S),,Ahmedabad,18000 ,Starts immediately
8,Social Work (Teaching),Teach For India,,Work From Home,Unpaid,Starts immediately
9,Marketing,Titan Company Limited,,Work From Home,15000 ,Starts immediately
10,Marketing,Think & Learn Private Limited (BYJU'S),,Surat,18000 ,Starts immediately
11,Business Development (Sales),Urban Company,,Ahmedabad,10000 ,Starts immediately
12,Retail Management,Decathlon Sports India,,Gurgaon,10000 ,15 Nov - 15 Dec' 21
13,Business Development (Sales),Zoomcar India Private Limited,,Work From Home,4000 ,Starts immediately
14,Business Development (Sales),Urban Company,,Gurgaon,10000-20000 ,Starts immediately
15,Content Writing,Hindustan Times Digital Streams Limited,,Work From Home,8000 ,Starts immediately
16,Business Development (Sales),Urban Company,,"Amritsar, Aurangabad, Jabalpur, Kota, Mysuru, Gwalior West",10000 ,Starts immediately
17,Volunteering,Teach For India,,Work From Home,Unpaid,Starts immediately
18,Accounts & Finance (Treasury & Banking),V-Mart Retail Limited,,Gurgaon,8000-10000 ,Starts immediately
19,Human Resources (Change Leader),Tata Community Initiatives Trust,,Work From Home,15000 ,Starts immediately
20,Business Development (Sales),Wildcraft India Private Limited,,Bangalore,5000 ,Starts immediately
21,Event Management,Economic Times,,Work From Home,7000 ,Starts immediately
22,Business Development (Sales),Urban Company,,"Guwahati, Vijayawada",10000 ,Starts immediately
23,Operations,Mahindra Logistics Limited,,Mumbai,7000 ,Starts immediately
24,Human Resources (HR),Max Healthcare,,Haryana,10000 ,Starts immediately
25,Social Media Marketing,Reliance Entertainment,,Mumbai,8000 ,Starts immediately
26,UX/UI Design,Hungama Digital Media Entertainment Private Limited,,Work From Home,5000-10000 ,Starts immediately
27,Marketing,BYJU'S The Learning App,,"Navi Mumbai, Mumbai, Raigad, Thane, Vasai-Virar",20000 ,Starts immediately
28,Graphic Design,Mobile Premier League,,Bangalore,20000 ,Starts immediately
29,Business Development (Sales),UrbanClap Technologies India Private Limited,,"Pune, Mumbai",10000 ,Starts immediately
30,Marketing,BYJU'S The Learning App,,"Agartala, Guwahati, Shillong, Imphal, Itanagar, Kohima, Silchar, Aizawl, Dimapur, Gangtok",18000 ,Starts immediately
31,Business Development (Sales),Urban Company,,Chennai,10000 ,Starts immediately
32,Law/Legal,Hindustan Unilever Limited,,Mumbai,10000 ,Starts immediately
33,Female Models Required For Brand Promotion,talent track,beautiful female models for brand prom...,Delhi NCR,,26/08/21
34,Casting For Non-Indian Face(Male) For An Ad Shoot,talent track, non-Indian face (male) for an Ad shoo...,Delhi NCR,,26/08/21
35,Female Artists Required For A Web-Series For A Known OTT Platform,talent track,female artist for a web series for a k...,Mumbai,,24/08/21
36,Female Artist Required As Doctor For A Project,talent track,Mumbai based female artists to play do...,Mumbai,,24/08/21
37,Female Artists Required For A Beauty Product Shoot,talent track,female artists for a beauty product sh...,Mumbai,,24/08/21
38,Female Artists Required For A Known Apparel Brand Shoot,talent track,female artists for a known apparel bra...,Mumbai,,24/08/21
39,Male/Female Child Artist Required For A Digital Promo Shoot,talent track,male/female child artist for a digital...,Mumbai,,24/08/21
40,Female Artist Required For A Horror Movie,talent track,female artist for a horror movie. Arti...,Mumbai,,24/08/21
41,Female Actor Required For A Crime Based TV Show,talent track,female actor for a crime based show. A...,Mumbai,,24/08/21
42,Male Lead Actor Required For An Upcoming TV Serial On A Leading Channel,talent track,male lead actor for an upcoming TV ser...,Mumbai,,23/08/21
43,Female Lead Actor Required For A Crime Based TV Show,talent track,female lead actor for a crime based TV...,Mumbai,,23/08/21
44,Male/Female Actors Required For Digital Ad Film,talent track,male/female actors for a digital Ad fi...,Mumbai,,20/08/21
45,Female Model/Actor Required For International Brand Endorsement And TVC Shoot,talent track,female model/actor for international b...,Mumbai,,19/08/21
46,Female Actor In Lead Required For A Movie Shoot,talent track,Our production house is searching for a good looki...,Chennai,,19/08/21
47,Female Model Required For Beauty Photo Shoot,talent track,good looking female models for beauty ...,Mumbai,,19/08/21
48,Female Artists Required For Big Brand Digital Ad Shoot,talent track,Bangalore based female artists for a b...,Mumbai,,19/08/21
49,Female Models Required For Travel Vlogs,talent track,"Need a beautiful, energetic, dynamic, explorers mi...",Kolkata,,19/08/21
50,Female Artists Required For A Car Brand Print Shoot,talent track,female artists for a car brand  print ...,Mumbai,,19/08/21
51,Male/Female Junior Artists Required For A Project,talent track,male/female junior artists for a proje...,Mumbai,,19/08/21
52,Female Artist Required For A Product Ad Shoot,talent track,female artist for a product Ad shoot. ...,Delhi NCR,,19/08/21
53,Female Lead Actor Required For A Punjabi TV Show,talent track,female lead actor for a Punjabi TV sho...,Mumbai,,19/08/21
54,Female Actor Required For An Upcoming Short Film,talent track,female actor for an upcoming coming sh...,Mumbai,,19/08/21
55,Mumbai Based Male Model Required For Print Shoot,talent track,Mumbai based male model for print shoo...,Mumbai,,18/08/21
56,Female Artists Required For A Digital Ad Shoot,talent track,female artists for a digital Ad shoot....,Mumbai,,18/08/21
57,Female Models Required For Various Print Shoots,talent track,female models for various print shoots...,Delhi NCR,,18/08/21
58,Female Lead Actor Required For ATV Show On A Leading TV Channel,talent track,female lead actor for a TV show on a l...,Mumbai,,18/08/21
59,Male Models Required For A Shoot In Delhi,talent track,male models for a shoot in Delhi. Age-...,Delhi NCR,,18/08/21
60,Female Artists Required As Report For A Big Hindi Film,talent track,female artists to play reporter in a H...,Mumbai,,18/08/21
61,Female Actors Required For Hindi Film And Web-Series,talent track,female actors for Hindi film and web s...,Mumbai,,17/08/21
62,Female Models Required For E-Commerce Shoot,talent track,female models for E-Commerce shoot. Ar...,Mumbai,,17/08/21
63,Female Lead Actor Required For An Upcoming Web-Series On A Leading OTT PLatform,talent track,female lead actor for an upcoming web ...,Mumbai,,17/08/21
64,Female Lead Actor Required For An Episodic TV Show,talent track,female lead actor for an episodic TV s...,Mumbai,,17/08/21
65,Male Artist As Friend Required For An Upcoming Film,talent track,male artists to play friend's characte...,Mumbai,,17/08/21
66,Female Actor Required Required For A Crime Based TV Show,talent track,female actor for a crime based TV show...,Mumbai,,16/08/21
67,Female Models Required For Video Songs,talent track,fresher/experienced female models for ...,Delhi NCR,,16/08/21
68,Casting Call For Female Models For Calendar Shoot,talent track,female models for a calendar shoot. Ar...,Mumbai,,13/08/21
69,Makeup Artists Required For An English Digital Film,talent track,Fresh/Experienced male and female make...,Panaji,,13/08/21
70,Female Lead Actor Required For An Upcoming Project,talent track,Female lead actor for an upcoming proj...,Delhi NCR,,12/08/21
71,Female Artist Required As Mother For A Video Shoot,talent track,Mumbai and Pune based female artist as...,Mumbai,,12/08/21
72,Male Child Actor Required For A Promo Shoot,talent track,Artists should be cute and having good acting skil...,Bhopal,,12/08/21
73,Female Models Required For Brand Promotion,talent track,beautiful female models for brand prom...,Delhi NCR,,26/08/21
74,Casting For Non-Indian Face(Male) For An Ad Shoot,talent track, non-Indian face (male) for an Ad shoo...,Delhi NCR,,26/08/21
75,Female Artists Required For A Web-Series For A Known OTT Platform,talent track,female artist for a web series for a k...,Mumbai,,24/08/21
76,Female Artist Required As Doctor For A Project,talent track,Mumbai based female artists to play do...,Mumbai,,24/08/21
77,Female Artists Required For A Beauty Product Shoot,talent track,female artists for a beauty product sh...,Mumbai,,24/08/21
78,Female Artists Required For A Known Apparel Brand Shoot,talent track,female artists for a known apparel bra...,Mumbai,,24/08/21
79,Male/Female Child Artist Required For A Digital Promo Shoot,talent track,male/female child artist for a digital...,Mumbai,,24/08/21
